Artist,Title,Found on Spotify?,Spotify URI,Corrections
Midori Hirano, Rabbits In The Path ,Yes,spotify:track:4vsYwuC2CEby8eJLOmf8wM,
The Caretaker,Moments Of Sufficient Lucidity,Yes,spotify:track:1PSoAYiEv7oQwVuGCeBFUX,
ADAM WILTZIE,TYLET & JESSE,Yes,,
Roger Eno,Voices,Yes,spotify:track:3JU3oDXq0VZKJz5DyMaHt5,
Underworld,Capa's Last Transmission Home,Yes,spotify:track:7lQeGVduru8oyY0l1H0nP5,
JOHANN JOHANNSSON,DEATH & ASHES,Yes,spotify:track:1IyPd065NkGaOL5Qe7XI9c,
Ben Salisbury,Stay In My Bed,Yes,spotify:track:5tx2lJ72804fgGW69hFpW6,
Miguel Atwood-Ferguson,Airavata,Yes,spotify:track:32Zt1StZRw2p7cqzaRJ5ke,
"Trondheim Voices, Christian Wallumrød",Bygda Triads,Yes,spotify:track:2LLR3XuFexW9KfuMHoneMK,
Bill Wells Trio,D.A.D.E,Yes,spotify:track:2JAL7eeGUxB4lyqTc5VLkY,
Skúli Sverrisson,Sería,Yes,spotify:track:0gByie4ptADcvfEEdFAFjB,
Lemon Jelly,Soft,Yes,spotify:track:4smfeUBbpc5sYQNOI4PDso,
Adam Wiltzie,Tissue Of Lies,Yes,spotify:track:4Hftkks9pb3nm54bICxyBK,
"Coral Morphologic, Nick León",Deep Call,Yes,spotify:track:47EzNNGEJyRGqOwA0tkXlY,
"Loscil, Lawrence English",Vermillion,Yes,spotify:track:1Gccy7ed0k2juPJ86nniaN,
M. Geddes Gengras,I,Yes,,
Dakn X Kilo Hone,Whaves,Yes,,
JAB,Utopia And Oblivion,Yes,,
Orange Cake Mix,Streetlights And Stars,Yes,spotify:track:6NdMIDmjy6zblmEZTob83r,
Jean-Emmanuel Rosnet,Manie Dasante,Yes,,
Hoyah,131-31 (-°-),Yes,spotify:track:5ChK4lqxnlkJOdXQdIEKXk,
One Human Minute,Ohmjazz,Yes,,
Mineral Stunting,Smoke Realm,Yes,,
Shakali,Ensisäie,Yes,spotify:track:6GlttdY0t4OTMkZPf57eoo,
Jessica Bailiff,"Gray Sky, Gray Mind",Yes,,
"Loscil, Lawrence English",Cyan,Yes,spotify:track:0ifzJjPkJuAyEiVIY8Ay8p,
MJ Guider,Primavera (Ritmo Joven),Yes,spotify:track:6l69RlPWKhyEVONKE8YNIe,
Ogive,Weathercore,Yes,spotify:track:2mddtRxjvCRGefeP4beuRP,
Dorothy Carlos,Balm ,Yes,spotify:track:4rfYqC7EMGnBNCsYkKkOKK,
"Boofy, VMO$",Unread,Yes,spotify:track:4kKA0a0IAMtNppAEADO2yi,
sex,waiting for u,Yes,spotify:track:7ojysfPrbiwK8kGd8zidcu,
Roy Montgomery,The Passage Of Forms,Yes,spotify:track:6u6mFxwuyR3Xwqex0yMzZA,
Windy & Carl,Instrumental II (Demo Mid-1993),Yes,,
Breeze,Kite,Yes,spotify:track:5yzM5A88bKYkTq3uju6xvF,
Full Body 2,ador//ation,Yes,spotify:track:5NMKLXprDYZw94MzDGqNjy,
Pale Saints,Babymaker (Demo),Yes,spotify:track:4DuTdBHD7pp1YBCwCVI7dz,
Chapterhouse,Rain,Yes,spotify:track:1bI6mfQRNMmukbhumwUCHI,
Claire Rousay,Parkowa 2,Yes,,
Giuseppe Ielasi,5,Yes,spotify:track:1iAjze4zyLU1WSSW0vkAZu,
Terekke,Just Ducking Around,Yes,spotify:track:3mydnReauoVysqA1ELKN3Q,
"Mary Lattimore, Julianna Barwick",Canyon Lights,Yes,,
Rachika Nayar,Verbena,Yes,,
Amp,Afterallisdust,Yes,,
Windy & Carl,Close Your Eyes (1st Version - Unreleased 1994),Yes,,
Mister Baby,Bella’s Dream,Yes,,
"Piper Spray, Lena Tsibizova",Recursive Personage,Yes,spotify:track:19usz2Cscd7g9CjonVzCAb,
Strategy,True Believers,Yes,spotify:track:3y1xEf62WLX3yVRs85besR,
Brother Blue,Night Sky,Yes,,
slowfoam,Playfully Rendered ,Yes,spotify:track:66EO1tGCMCAD0p6lKYDkiO,
