Artist,Title,Found on Spotify?,Spotify URI,Corrections
Esquivel,"Adios, Mariquita Linda",Unknown,,
José José,Amor Mío,Unknown,,
"Javier Solis, Nacho Sanchez y Sus Mariachis",La Retirada,Unknown,,
Los Pasteles Verdes,Esclavo Y Amo,Unknown,,
Por Un Amor,Adoro,Unknown,,
BIENVENIDO GRANDA,SERÉ TU AMIGO,Unknown,,
"Pete ""El Conde"" Rodriguez",Convergencia,Unknown,,
Los York's,Cielo = Sunny,Unknown,,
Frankie Y Los Matadores,Vivo Pensando,Unknown,,
Jonny Chingas,Perdoname,Unknown,,
LITTLE JOE Y SUS LATINAIRES,UNA NOCHE SERENA Y OBSCURA,Unknown,,
Alfredo Orlando Ortiz,Cumbia Sobre El Mar,Unknown,,
Chavela Vargas,Rayando El Sol,Unknown,,
Los Cadetes de Linares,No Hay Novedad,Unknown,,
Los Beta 5,Sueño Hippie,Unknown,,
Chavela Vargas,Golondrina Viajera,Unknown,,
Pedro Infante,Cuando Sale La Luna,Unknown,,
Alfredo Orlando Ortiz,Cancion De Orfeo,Unknown,,
Lucia Herron,Amargura (Tu Partida),Unknown,,
Trio Martino,Noches De Bocagrandre,Unknown,,
Los Machucambos,Pepito,Unknown,,
Mongo Santamaria Y La Lupe,Kiniqua,Unknown,,
Orquesta Inmensidad,Hasta Que Te Conoci,Unknown,,
Orquesta Power,Todos Vuelven,Unknown,,
Exito Ariel Perez Amistad Caracas,Piano Y Cumbia,Unknown,,
"Sonora Barranquilla, Lucho Campillo",Llorando Se Fue,Unknown,,
Grupo Quintana,Llorando Se Fue,Unknown,,
La Tropa Loca,Punto Final,Unknown,,
Elena Madero,Pepito,Unknown,,
Little Joe And The Latinaires,Tell It Like It Is,Unknown,,
Joe Bataan,I'll Be Sweeter Tomorrow (Than I Was Today),Unknown,,
Jorge Santana,Love The Way,Unknown,,
Julia De Burgo,Yo Misma Fui Mi Ruta (Poem Read By Angelica Makhoul),Unknown,,
La Lupe,La Gran Tirana,Unknown,,
Toña La Negra,Desolación,Unknown,,
"Chavela Vargas, Antonio Bribiesca",Flor De Azalea,Unknown,,
Eduardo Galeano,Alfonsina (Poem Read By Angelica Makhoul),Unknown,,
Mercedes Sosa,Alfonsina Y El Mar,Unknown,,
Yolanda Del Rio,"Llorar, Llorar, Llorar",Unknown,,
Lola Beltran,A Los Cuatro Vientos,Unknown,,
"Chavela Vargas, Antonio Bribiesca",Cruz De Olvido,Unknown,,
Lydia Mendoza,Mal Hombre,Unknown,,
Selena,Si Una Vez,Unknown,,
Beatriz Adriana,Adios y Bienvenida,Unknown,,
Las Hermanas Nuñez,Odiame,Unknown,,
Violeta Parra,Gracias A La Vida,Unknown,,
Angelica Makhoul,Eduardo Galeano Poema De Mujeres,Unknown,,
Toña La Negra,Noche De Ronda,Unknown,,
Chavela Vargas,Vámonos,Unknown,,
Irene Rivas,Vida Mia,Unknown,,
Evangelina,Gracias A La Vida,Unknown,,
Rodrigue Millien,Confession,Unknown,,
Manno Charlemagne,Ayiti pa fore,Unknown,,
Rodrigue Millien,Mwen Ta Renmen Konen,Unknown,,
Shoogar Combo,Lèlène Chérie,Unknown,,
Raulin Rodriguez,Nereyda,Unknown,,
Raulin Rodriguez,Que Vuelva,Unknown,,
Elvis Martinez,Me Seguiras Buscando,Unknown,,
Haïtian Troubadours,Richesse,Unknown,,
Rodrigue Et Toto,Nécéssité,Unknown,,
Rodrigue Milien,Nostalgie Lakay,Unknown,,
Orchestre Tropicana D' Haiti,Pot Pourri De Bolero,Unknown,,
Roger Colas,Haiti Chérie,Unknown,,
Turbo Sonidero,¿Que Puedo Hacer?,Unknown,,
DJ Sonermix,Taliban En Korea 2k17,Unknown,,
Sonido Colombiano,Quererte Cumbia,Unknown,,
Alberto Pedraza,Cumbia Callejera,Unknown,,
Alberto Pedraza,Cumbia Callejera (Feat. Santa Fe Klan),Unknown,,
Marian Wepa,Kumbia Nohemi Parte 2,Unknown,,
Juan Barrio Latino,Navegando Por El Rio Wepa 2017,Unknown,,
Philthy Dronez,Sabor De La Cumbia,Unknown,,
Grupo Ju-Juy,Cumbia Morena ,Unknown,,
Grupo Jejeje,San Felipe Del Agua,Unknown,,
Grupo Jejeje,Virgen Del Carmen,Unknown,,
Los Mobstars,Mixteca Talibana 2k21 (Feat. DJ Gecko),Unknown,,
Los Embajadores,La Fiesta,Unknown,,
Grupo Karo's,Cumbia Sonidera,Unknown,,
Grupo Kual?,Corazon Enamorado,Unknown,,
Chucho Ponce Los Daddys De Chinantla,Pobre Corazon,Unknown,,
Los Telez,Ojos Negros,Unknown,,
Los Príncipes Del Sabor,Ojitos De Cielo,Unknown,,
Los Telez,Por Tu Forma De Ser,Unknown,,
Grupo Pesadilla,Olvidame Si Puedes,Unknown,,
Grupo Pesadilla,El Verde De Tus Ojos,Unknown,,
Grupo Pesadilla,Te Hago El Amor,Unknown,,
Chico Sonido,The Sound Of The Future,Unknown,,
El Cifickzer SLP MEX,Kumbia Lokota,Unknown,,
DJ Nyko Colombia,Kumbia Del Carbonero,Unknown,,
Sonido Samurai,La Cumbia Candela Con Wepa,Unknown,,
Sonido Samurai,La Cumbia De La Sobadera,Unknown,,
Ivan Cantor Y Su Mero Estilo Wepa,La Cumbia Sanpanchito,Unknown,,
DJ Nyko Colombia,Que No Quede Huellas,Unknown,,
DJ Magic,Cumbia Internacional,Unknown,,
Sonido Super Lucky,La Cumbia Del Sol Con Wepa,Unknown,,
Ivan Cantor Y Su Mero Estilo Wepa,El Niño Y Su Acordeón,Unknown,,
Los Mendez De Tehuitzingo Puebla,Mariachi Sonidero 2021,Unknown,,
Producciones El Nino,La Gaita Del Conejito,Unknown,,
Turbo Sonidero,El Duque,Unknown,,
Turbo Sonidero,Sonrie / Llora,Unknown,,
Lucho Gatica,Historia De Un Amor,Unknown,,
Chabela Vargas,Mi Segundo Amor,Unknown,,
Los Tres Diamantes,Embrujo,Unknown,,
Leonardo Paniagua,Te Extrañaré Por Siempre,Unknown,,
"Tito Puente, La Lupe",Que Te Pedi,Unknown,,
Bienvenido Granda,Encontré Mi Lugar,Unknown,,
Bola De Nieve,Dejame Recordar,Unknown,,
Angel Canales,Yo No Tengo Pena,Unknown,,
Sunny And The Sunliners,Usted,Unknown,,
