Artist,Title,Found on Spotify?,Spotify URI,Corrections
Cash Cobain F. Laila,Problem,Yes,spotify:track:558OkRc07xtIAkKu9iXGQg,
"Ella Langley, Riley Green",You Look Like You Love Me,Yes,spotify:track:0y5Ex8oQ8zCH5TQxHUy1Eo,
Luke Borchelt,Itchin’,Yes,spotify:track:34UkYji2xKhx5dEyLGibNf,
"Rihanna, J-Status",Here I Go Again,Yes,spotify:track:07gLSfLyr23jSKaUpRgR1B,
Vybz Kartel,Slow Motion,Yes,spotify:track:5dVB3zb1GkiDcxX6F4l06p,
Ms. Thing,Regular,Yes,spotify:track:43k8fMLhvZJio990JH3kVO,
Mavado,Settle Down (Destiny),Yes,spotify:track:3No90yqhFHg1vcFCHrCR6b,
"Boza, Elena Rose",Orion,Yes,spotify:track:5pVJ3IlnpIorU44oXizzG5,
Tems,Love Me JeJe,Yes,spotify:track:47hsUYxvbTlBAN3sP9dEOd,
"Uncle Waffles, Tony Duardo, Justin99, Pcee, EeQue, Chley",Yahyuppiyah,Yes,,
Vybz Kartel,Half On A Baby,Yes,spotify:track:5hCkdOrwUlPdRP4r5Mdw69,
Karol G,Si Antes Te Hubiera Conocido,Yes,spotify:track:6WatFBLVB0x077xWeoVc2k,
"DB Boulevard, Broggio",Point Of View (Broggio Club Mix),Yes,,
Tre Oh Fie,On Beat (Major Nine Remix),Yes,spotify:track:5bk432bhfT1uqFySXRehe2,
EthanUno,pensando en ti,Yes,spotify:track:7KKkueqCLOYJMt09lLQx3s,
"YMswag, Dj Yk mule",Zero Competition (Speed Up Version),Yes,spotify:track:5Aa0bh2ElBor6dp0n0LXEC,
"Nick León, Erika de Casier",Bikini,Yes,spotify:track:7KZa2q92Dwbjrx2zo4obgw,
"Ice Spice, Central Cee",Did It First,Yes,spotify:track:4ONaKfGB5DBfJXQ4KSvajY,
Jordan Adetunji F. Kehlani,KEHLANI (REMIX),Yes,,
"Valentino Merlo, The La Planta",Hoy,Yes,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,
Nippa F. Larry June & SHOW & PROVE,Sugar,Yes,spotify:track:47kP3xuBY33bL6aKZ5uRGb,
Audi Money,Baby Gangsta,Yes,spotify:track:2mzoJ5uyVHL2YxcczCtTMI,
Odeal,Soh-Soh,Yes,spotify:track:1nx6LKAkJ595JFmvFNDn5s,
Wet,This Fog,Yes,spotify:track:6mDYAKJMsfnrkspPqIuEKS,
Ac03x45dh3,You WILL Cry Listen To This All The Way Through [No Pranks] (*Edit Of Cammy Belle + Hidden Contact),Yes,,
Rahn Rahn $Plash Ft. Chubb $Plash,Fake Friends,Yes,spotify:track:3N85Ve1RElh7ZZ4RREKkpT,
User-177606668,God Wishes Me Happy Even If They Are Not Real,Yes,,
Bloody Shield,Allofasudden (500 Edit),Yes,,
Camille Keller,Dallae,Yes,spotify:track:5Jrq35fkY3GBibqzrJgqS4,
Paul,New Lease on Life,Yes,spotify:track:6SDot22yCk3UpjaYjCXPp7,
Rick Cranberry,Going Band For Band With Carter Pewterschmidt (*Edit Of YN Jay X RMC Mike),Yes,,
Babyxsosa,Throw It,Yes,spotify:track:2M4jxS3YAUfJlLxr09ozUg,
Veeze,Safe 2,Yes,spotify:track:03EeSCpknE0FT43T57UkSg,
Dida,Don't Touch Crickets,Yes,spotify:track:7eNKhoB0OGtYRJgLLISAaX,
GG12,"Another Month, Another Year",Yes,,
Lilkris3000,Bethoven Prod. Bethoven,Yes,,
Showtek,FTS,Yes,spotify:track:2dglR5ZrKa4rGk6a2zsDKh,
Waxahatchee,Right Back To It,Yes,spotify:track:17Zzi8qsn8mdm0t0JTGeQo,
"Wicca Phase Springs Eternal, Holy Mountain",Vocal Trance Playlist,Yes,spotify:track:3r6hl1aKH5619iYsaoPSsP,
Closet,i hate this town lol,Yes,spotify:track:1gZSzCjgaHXQtP6V3NirpR,
User-177606668,Its My Bad Its My Bad Its My Bad Its My Bad Its My Bad Its My Bad Don't Lie (*Edit Of Underscores),Yes,,
Bladee,Not Much Of A Life (SALEM Cover),Yes,,
LAZER DIM 700,Alltime,Yes,spotify:track:6vKfaYRT7SvKtmeIx5CC4c,
Bod [包家巷],"Holy (Water, Earth, Metal, Fire, Wood) + Bloodz Boi 血男孩",Yes,,
The Processional Professional,“360” Wedding Entrance (Charli XCX),Yes,,
Camila Cabello,Chanel No.5,Yes,spotify:track:5U1dGHnSbt9VaidRSaD46M,
Rensgo,BEAT STEREO LOVE🌌🌌 ++ DJ P7 (2010),Yes,,
Sunsǝt,Children (Torn),Yes,,
LUCY,Breathe (Faith Hill Cover),Yes,,
Erlend Øye,Like Gold,Yes,spotify:track:5g2fFnn7wVj5AS5ptgnmGJ,
Anamanaguchi,Merry Christmas Mr. Lawrence,Yes,,
Sebastian Yatra,Tracionera,Yes,spotify:track:4Ft0391aLVNtCPPseh98lp,
Emanuellcortess_,Amor,Yes,spotify:track:0hkoQgoqic1qQtxPOudmrx,
Plan B,Te la tiro pa' que Bailes,Yes,spotify:track:4y9Yn8z2cUVvmSPFMEVirk,
Don Omar,Pobre Diabla,Yes,spotify:track:1xbw6jObdWhPSoN9MflOSA,
honestav,Cool Kids,Yes,spotify:track:7t1s5sf4z20lHOjScQ35nA,
Sabrina Carpenter,Espresso,Yes,spotify:track:1vLqigPHwiFnXsfrLMehV1,
Tinashe,Nasty,Yes,spotify:track:6NjWCIYu1W8xa3HIvcIhd4,
Charli XCX,360,Yes,spotify:track:4w2GLmK2wnioVnb5CPQeex,
"Girl On The Couch, Memphis LK",Man In Finance (Welcome To The Hamptons),Yes,spotify:track:5WbJLiuWuCzqAss8DJ9SaZ,
"310babii, Ohgeesy, BlueBucksClain",Rock Your Hips,Yes,spotify:track:7ciVVd4JFgUb5D38mMCkIA,
LuckyBanks,Shawty A Vibe,Yes,spotify:track:21l6wkOqLSPxtwrztuxd3U,
"Maxo Kream, That Mexican OT",Talkin In Screw,Yes,,
Tommy Richman,Million Dollar Baby,Yes,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,
"Evil Empire, Trae Tha Truth, Tuck",Not A Stain On Me,Yes,spotify:track:7iLUv6xsE4tD3chMMfYhvh,
RajahWild,Inferno,Yes,spotify:track:2elfc7Kdlike9fjeUS1ocP,
Los Sufridos,No La Vi A Ninguno,Yes,spotify:track:4ylD5MVVgEazBclaV7am4B,
Lomiiel,HAY LUPITA,Yes,spotify:track:5jFA0f4ZDGLbQP4nxzL8D4,
Mk.gee,Are You Looking Up,Yes,spotify:track:1sWYVBg7ix2WAq43J9nY7E,
El De La R’s,Dice Que Me Extraña (Acustico),Yes,spotify:track:2s924yS69SZwAPrH1xFvXh,
"Jay Lima ZM, Benny Bankx",Netflix & Chill,Yes,,
Kehlani,After Hours,Yes,spotify:track:2x03XLsTZ0o86h0cfHrkKF,
Sammy Andaluz,El BBL,Yes,spotify:track:1UNvfniYSJXU8ikA49JzOJ,
"Natanael Cano, Oscar Maydon",Madonna,Yes,spotify:track:5LhI8m7n8xlQmNe3b7Rwis,
J.P.,Bad Bitty,Yes,spotify:track:3hDGP1FyivTChULeeVWkH6,
Shaboozey,A Bar Song (Tipsy),Yes,spotify:track:7wd9kz7UXhJr8pgdqpzKu5,
Cee-Lo,Free (Full Version Live 88.5),Yes,,
"OutKast, The Goody Mob","Git Up , Git Out",Yes,,
OutKast,Crumblin' Erb,Yes,spotify:track:3T790QTg0ebUUk5tCRbtbN,
Horace Brown,I Want You Baby,Yes,spotify:track:0CygbvQ9DtMSPHojccFdMG,
"Rico Wade, Da Connect, Dungeon Family",Belly Of Da Beast,Yes,spotify:track:7lZH58zVYlGp4fppwI6N8M,
Outkst,Growing Old (Instrumental),Yes,spotify:track:79gpMZ4YLos3gSPkPogC11,
D4L,Scotty,Yes,spotify:track:6a0GRBATlIq4SRbBOPOA8V,
Backbone,"""5, Duce, 4, Tre""",Yes,spotify:track:2H8paSeXMZx4AQfu3pVVZ7,
Bubba Sparxxx,Heat It Up,Yes,spotify:track:0yI5ApwVyFDmdh265LD5LT,
Lil' Jon & The East Side Boyz,Shawty Freak A Lil' Sumtin',Yes,spotify:track:6d0qq1Okpy9TP1U9QjNhW1,
Kandi,Don't Think I'm Not (Radio Edit),Yes,spotify:track:1uqsrjaeuU8c4lW9PzoJJe,
Ludacris,Keep It On The Hush,Yes,spotify:track:0lqpjo8PTeyBxcf2k492JD,
KARRAHBOOOO,RIP FOLLIES,Yes,spotify:track:6Vr19U1UyfA7sw4wri12LX,
"Cash Cobain, Ice Spice, Bay Swag",Play Fisherrr (Remix),Yes,spotify:track:1rrV4ymf3Tp3xuLgB4zCRN,
"Los Cómplices, Yahir Saldivar",La Cumbia De La Baliniza,Yes,spotify:track:4mO0nK7SruRNINjeP6KnZD,
"Yahir Saldivar, GRUPO K2",SC-70,Yes,spotify:track:3e7oMovGvXKTY9RUn7i2aw,
Ahmed Ben Ali,Dameek Majeb,Yes,spotify:track:6arNSmEgcqkNkUy5fYTFW2,
Sexyy Red,Pound Town (Ase Manual Remix),Yes,,
Young Thug,Amazing (Feat. Jacquees),Yes,spotify:track:5mzmXn6NdCU9Gm6Q0rcBWT,
Youth Thug,Chanel (Ase Manual Remix),Yes,,
Yeat,Shmunk (Feat. YoungBoy Never Broke Again),Yes,spotify:track:2fpTRcMLt4aKlqULOwuXUP,
"Kelela, Divoli S'vere, Mike Q",The High (Mike Q & Divoli S'vere Remix),Yes,spotify:track:5Fege7mIyUjtCtClgcPZcH,
Milkdonna,Say My Name Nova Mix,Yes,,
Opus III,Evolution Rush,Yes,spotify:track:0uIPWNaYCF11sBpdjxrNF5,
"TDJ, X-Coast",Lalala (Want Somebody) (X​-​Coast Remix),Yes,spotify:track:6pFXqXNC6q4e0qxODk7Hr6,
Young Thug,RiRi,Yes,spotify:track:20rZiHL20MTJjfhLQZQsm4,
Angel City,Do You Know (I Go Crazy) (Extended Mix),Yes,spotify:track:6cycptZHaq1ECGSL5CuXyJ,
Bours?,In Da Club,Yes,,
Bizzy Banks,Ok Ok Ok,Yes,spotify:track:6z47OmpXQ1EBrTtQvLnu4v,
Arta Fact,Miscommunication,Yes,spotify:track:73CCwW3FVwCyuzM7GMY9IN,
DD Osama,Let's Do It (Feat. NLE Choppa & Dee Play4Keeps),Yes,spotify:track:2g2Lp3kUkZ4HqtxBrDu5Tt,
LOTIC,PHLEGM (ZUTZUT GOLOSO EDIT),Yes,,
X-Coast & DJ Rada,One Life,Yes,spotify:track:6pe58ZtX5IJUWsd8YyIDn6,
Blicz,Glamorous,Yes,,
Lily-Rose Depp,World Class Sinner / I'm A Freak,Yes,spotify:track:7dnixpDdQlIOX1L7O0pdFM,
BEATCAT,RUSH,Yes,,
Kiddy.Wav,U Thought I Was F33ling You,Yes,,
Nardo Wick,Somethin' (Feat. Sexyy Red),Yes,spotify:track:3LdP8uDwQ1NVwNCrb8I32K,
NEIKA,Don’t Trust,Yes,,
Human Part,Had To Did It On Em,Yes,spotify:track:6Fdt5v1r6iK2roy9AfIoUC,
"Zahsosaa, D STURDY & Dj Crazy",Shake Dhat,Yes,spotify:track:5UESpuA78cd0mYIdu7CKq4,
"Lil Wayne, Birdman",No Ceilings,Yes,,
Jimmy Cliff,"Under The Sun, Moon And Stars",Yes,spotify:track:2p7sRZxRCSEmd97wyDr57m,
Beyoncé,Texas Hold 'Em (Clean),Yes,,
Tanner Adell,Throw It Back,Yes,spotify:track:5pB3ajtPcrXmLP86SSYq7F,
J.Tajor,Like I Do,Yes,spotify:track:1TiZWEsxN85yLJBq56K8mG,
"Shaggy, Rayvon",Angel,Yes,spotify:track:7FDV5ELOJHCGLe52AnttEd,
"Alton Ellis, The Dreamlets",So Much Love,Yes,spotify:track:7raoVtbKO8WALD9LmzYLFK,
Slim Smith,Rougher Yet,Yes,spotify:track:7A9OIB0nexMiclh5OFWNLR,
Sheryl Crow,The First Cut Is The Deepest,Yes,spotify:track:0wyOnrfGOlDdWHdIybLr4n,
Dionne Farris,Hopeless,Yes,,
Bossman Dlow,Get In With Me,Yes,spotify:track:4iEoDBAgMJIzest7VsDgmT,
"Amy Winehouse, Dave Brinkworth, Harmonic 33, Mark Pritchard",Stronger Than Me (Harmonic 33 Remix),Yes,spotify:track:231AmbXpvpoovKnTNr4kbh,
Anthony Hamilton,I'm A Mess,Yes,spotify:track:2nRjJw4w4MUEtKIxu895jG,
