Artist,Title,Found on Spotify?,Spotify URI,Corrections
Frankie Y Los Matadores,Vivo Pensando,Yes,,
Los Zafiros,Bossa Cubana,Yes,spotify:track:4RXOtxCezwWl5L2qWgPkyL,
Amara Touré,Lamento Cubano,Yes,spotify:track:6Io55khaWpvlvOatce6XY5,
Nico Gomez & His Afro Percussion Inc.,El Condor Pasa,Yes,spotify:track:3xedzwiMNof2jaIkcKQBVw,
Malo,No Te Dejaré,Yes,,
Elia Y Elizabeth,Buscándonos,Yes,spotify:track:4Smc5FrdA3KirVa0VGh9pw,
Trio Japones,안개,Yes,spotify:track:4xwXCXpeF3L0zHcJhUUS9z,
Vicente Fernández,De 7 a 9,Yes,spotify:track:1ifDBnNSUu4ERvGIyWRRYe,
Marco Antonio Solís,Si No Te Hubieras Ido,Yes,spotify:track:3l1ZanpJ3jFQZMqATizqfE,
"فرقة الأرض, Ferkat Al Ard",Matar Al Sabah,Yes,spotify:track:0uOinAKIEo8AFfK1DcVnYd,
Nina Simone,Angel Of The Morning,Yes,spotify:track:5HFqvX0qiPF7LoMIFbiAdY,
Najat Al Saghira,Bahlam Maak,Yes,spotify:track:2nCZs15rSShxeRBzBp6eLO,
Jennifer Lara,Loving You,Yes,spotify:track:0fGEFHwz6lsM3kJZl4O1xE,
Javier Solís,Cuando Calienta El Sol,Yes,spotify:track:1QcakbNdhshfQpnXg0jnBX,
Abdel Halim Hafez,Ahwak,Yes,spotify:track:1chsFxuRdocgGwhhCYfZ9m,
Teresa Tang,月亮代表我的心,Yes,spotify:track:3Srw8isgDzmYsgwDi4MtbD,
Al Green,For The Good Times,Yes,spotify:track:5EPMGpzwuUAutClCLFyGVh,
Los Hermanos Carrión,Lindos Ojos = Pretty Blue Eyes,Yes,,
Faye Wong,你快樂所以我快樂,Yes,spotify:track:31kKBUeeCGuMt9fPxDybde,
Stevie Wonder,Come Back As A Flower,Yes,spotify:track:0MFIPnbCCGAwWntsow7ijx,
Mahmoud Abdel Aziz,كلو منك,Yes,,
احمد كوستي,مالو,Yes,,
Alice Coltrane,Going Home,Yes,spotify:track:6g9ItEHIAXnEDVdXd8nwEg,
Boutaïba S'ghir,Ma Nemchiche,Yes,spotify:track:32fWfJOWiJlXQo80WTwac6,
Blue Sueños,Tracklist,Yes,,
The Delfonics,La-La-Means I Love You,Yes,spotify:track:58CUIzSxNpQUFvTCd8tntH,
Héctor López Guzmán,TU CABEZA EN MI HOMBRO,Yes,,
Billy Stewart,Sitting In The Park,Yes,spotify:track:0Iwbts8iqaJJh2kPiXbtgV,
Olga Gillot,Que Sabes Tu,Yes,spotify:track:6pNKgjZX9oEGWD8VexthBL,
Francisco Aguabella,Image Of A Star,Yes,spotify:track:2RBL7AviOP3S0kYPEK5B1Q,
"Eydie Gorme, Trio Los Panchos",Sabor A Mi,Yes,spotify:track:1qGFFOWexpJEYWxkEDExWf,
Los Yesterdays,Nobody's Clown ,Yes,spotify:track:5y5AkEON3hWGuPJgxUJObc,
Malo,Suavecito,Yes,spotify:track:5QoFWpXoaUyT44VmR98wLl,
Sunny & The Sunliners,"Smile Now, Cry Later",Yes,spotify:track:6eMI5ns9sAaJanSTL3WU4R,
Brownskinhazel,Rosa Y Javier Hernandez,Yes,,
"""Amorcito Corazón""",Pedro Infante,Yes,,
"Amalia Mendoza, Mariachi Vargas",Puñalada Trapera,Yes,spotify:track:4IicxO8GF243qa1B2odL9e,
Antonio Aguilar,El Hijo Desobediente,Yes,spotify:track:1uWves4S89RPNHMMM28H0x,
LA HIJA DE NADIE,YOLANDA DEL RÍO,Yes,,
La Basurita,Beatriz Adriana,Yes,,
Gloria Matancera,Con la Punta del Pie,Yes,spotify:track:4rt2zpNhFBayp948Pi6liZ,
Los Corraleros De Majagual,La Medallita,Yes,spotify:track:7JM6oHAgKP8eMzNijarzGB,
Andrés Landero,La Pava Congona,Yes,spotify:track:1ncpMMz1pnttR53l8V7TDW,
Super Grupo Colombia,Pájaro Cinzontle,Yes,spotify:track:5n3E0nglDLPESQ5vSOCMeu,
"Grupo Ensamble, Arturo Carbajal, Olimpo Carbajal",Tus Jefes No Me Quieren,Yes,spotify:track:5ZkVnHs6BZViyXnl4LmRXh,
Rosario Castellanos,Desamor,Yes,,
Simon Diaz,Tonada De Luna Llena ,Yes,spotify:track:7epe37kYbhgDxaBUQOaHgx,
Soledad Bravo,Alla Viene Un Corazon,Yes,spotify:track:4y8Q4eLRS9iyOKBnNdLOuj,
Trio Matamoros,Lagrimas Negras,Yes,spotify:track:0KqQXbclFhskquKb1SZaWY,
Chavela Vargas,No Volvere,Yes,spotify:track:5eFydAYCMGKQC1OYoEXbw3,
"Celia Cruz, Sonora De Memo Salamanca",Cuando Estoy Contigo,Yes,spotify:track:33AAoOl6DIWwO2ll2bxpBq,
"Tito Puente, La Lupe",Que Te Pedi,Yes,spotify:track:3FWKQ15Ayc833wrE9J6mFP,
Los Zafiros,He Venido,Yes,spotify:track:7a0jkfRxobS5fC6siXK7YZ,
Frank Domínguez,Tu Me Acostumbraste,Yes,spotify:track:3r5jRHlntC5ygGeAIOCpbG,
Bola De Nieve,Dejame Recordar,Yes,spotify:track:3rSJ7zSzqJwB0r2rVcPvbo,
Piero,Fumemos Un Cigarrillo,Yes,spotify:track:7AENuJXWwTz8yl99eR9O6H,
Gal,Lágrimas Negras,Yes,,
Angel Canales,Nostalgia,Yes,spotify:track:6plMZcpOsgmdkD1YytjxP7,
Nicola Di Bari,El Corazón Es Un Gitano ,Yes,spotify:track:0FDMYhgD2I16HKW7TK0UPq,
"Facundo Cabral, Waldo De Los Rios Y Su Orquesta",No Soy De Aqui Ni Soy De Alla,Yes,spotify:track:66f3LFTQXjZvBCTeJepoeu,
Luiz Bonfa,Leque,Yes,spotify:track:6kIS3FX7pe0W6hYSQZqFf0,
King Nando And His Orchestra,El Solitario,Yes,,
Locos Del Ritmo,Tus Ojos,Yes,spotify:track:2ikdhRtBUIS1sBpN0j0ozp,
Sunny & The Sunliners,Vestida De Blanco,Yes,spotify:track:0wr0MYMoSf3XTOOnIyc2At,
Tommy Ramírez Y Sus Sonorritmicos,Pajarillo Herido,Yes,spotify:track:1SoGgqJkE6OFhOp59BPKfn,
La Sonora Matancera,"Lola, Lolita, Lola",Yes,,
Acarina Y Su Danzonera,Caldo De Oso,Yes,,
Orquesta Dan Den,Mi Cuerpo,Yes,,
Sunny & The Sunliners,Bonita,Yes,spotify:track:6zC4SnN7f9tUEzy4AxzPdm,
Stevie Wonder,He's Misstra Know-it-all,Yes,spotify:track:7sQ9eys8uVNrCsPyzYlDgG,
Grupo Cariño,Bailando En Agua,Yes,,
"Ensamble Centenario, Manuel Maria Ponce",Intermezzo,Yes,spotify:track:0hijMgpznlam0i5ghphLgK,
Luiz Bonfa,Rain,Yes,spotify:track:041INVOyA3LSLM1kao2oVq,
Raul Herrera Marquez,Vals Poético,Yes,spotify:track:6JCrJGHWKVKHSas7Nok78N,
Luis Bonfa,Preludio,Yes,spotify:track:1HP2YTL7TUTIdsg7ewaV4W,
King Nando,Nando’s Blue Moon,Yes,spotify:track:4xRkD3IYf6haKS595UJjZO,
Stevie Wonder,Un Lugar En El Sol (A Place In The Sun),Yes,spotify:track:4OsGBKQ8xLgIukXXxpgrZI,
Esquivel,"Adios, Mariquita Linda",Yes,spotify:track:2w0kFroaCZGOZ9SuDYjfSd,
José José,Amor Mío,Yes,spotify:track:1sfzuyxSpsBpRvrrtf1UtC,
"Javier Solis, Nacho Sanchez y Sus Mariachis",La Retirada,Yes,spotify:track:2fn0DP6XEFYhNsl3RNtBlh,
Los Pasteles Verdes,Esclavo Y Amo,Yes,spotify:track:0TWCegu3tNyq8ujUA5G0Nv,
Por Un Amor,Adoro,Yes,,
BIENVENIDO GRANDA,SERÉ TU AMIGO,Yes,spotify:track:5VDliJDKIr4WtrV8ilW0wu,
"Pete ""El Conde"" Rodriguez",Convergencia,Yes,spotify:track:5mf3hokqy5iuy4M3YYDAfW,
Los York's,Cielo = Sunny,Yes,spotify:track:5AcNEcQx3vFFf7exlN14mw,
Frankie Y Los Matadores,Vivo Pensando,Yes,,
Jonny Chingas,Perdoname,Yes,spotify:track:54yzfnacxAEK6wILzQJDo5,
LITTLE JOE Y SUS LATINAIRES,UNA NOCHE SERENA Y OBSCURA,Yes,,
Alfredo Orlando Ortiz,Cumbia Sobre El Mar,Yes,spotify:track:0VnAmlbX2osFZBdjU6WErF,
Chavela Vargas,Rayando El Sol,Yes,spotify:track:1FNL149Oyeb9KA6tVyToEA,
Los Cadetes de Linares,No Hay Novedad,Yes,spotify:track:3zf1pL3RIAtuNMmifiSem7,
Los Beta 5,Sueño Hippie,Yes,spotify:track:3NIUyp6HqIHBu5JT7h8GZ9,
Chavela Vargas,Golondrina Viajera,Yes,spotify:track:6KclPtNfnQwyjnpgp0rEGS,
Pedro Infante,Cuando Sale La Luna,Yes,spotify:track:5aHVxzURbr27noadnjT2SG,
Alfredo Orlando Ortiz,Cancion De Orfeo,Yes,spotify:track:2grx9rPyg2ioMiEoS7w5nt,
Lucia Herron,Amargura (Tu Partida),Yes,,
Trio Martino,Noches De Bocagrandre,Yes,spotify:track:0WZWCHmVJMukNwDzttPvfb,
Los Machucambos,Pepito,Yes,spotify:track:4uyZelxU8nHtF6wtWE3rDx,
Mongo Santamaria Y La Lupe,Kiniqua,Yes,spotify:track:0pEJ0Q0R1ZGQ5E1mgnwqUO,
Orquesta Inmensidad,Hasta Que Te Conoci,Yes,spotify:track:2CcPzN5N3LwG7w1mRf0PoC,
Orquesta Power,Todos Vuelven,Yes,spotify:track:4ScPIQfatozYeMXiubPG8f,
Exito Ariel Perez Amistad Caracas,Piano Y Cumbia,Yes,,
"Sonora Barranquilla, Lucho Campillo",Llorando Se Fue,Yes,spotify:track:5dREu9H9lVGrVTg1gf94kY,
Grupo Quintana,Llorando Se Fue,Yes,,
La Tropa Loca,Punto Final,Yes,spotify:track:0dKbGCBwNq23jsgczGypT1,
Elena Madero,Pepito,Yes,spotify:track:3sJ7VaBMWfwIx4rLRjdJjR,
Little Joe And The Latinaires,Tell It Like It Is,Yes,,
Joe Bataan,I'll Be Sweeter Tomorrow (Than I Was Today),Yes,spotify:track:2UTv3pRsnFv0GKW4d4E0To,
Jorge Santana,Love The Way,Yes,spotify:track:4lFTIIJjPXscGrWslY8E8h,
Julia De Burgo,Yo Misma Fui Mi Ruta (Poem Read By Angelica Makhoul),Yes,,
La Lupe,La Gran Tirana,Yes,,
Toña La Negra,Desolación,Yes,,
"Chavela Vargas, Antonio Bribiesca",Flor De Azalea,Yes,spotify:track:2ptdVBdNl5xAyRF74GjFXG,
Eduardo Galeano,Alfonsina (Poem Read By Angelica Makhoul),Yes,,
Mercedes Sosa,Alfonsina Y El Mar,Yes,spotify:track:6Q3ozAXkxLpKQy6sc8L0TY,
Yolanda Del Rio,"Llorar, Llorar, Llorar",Yes,spotify:track:1KP6iNv7JA7NipDS55MkJh,
Lola Beltran,A Los Cuatro Vientos,Yes,spotify:track:2i4B46JiV5SrDkZXBxQUhQ,
"Chavela Vargas, Antonio Bribiesca",Cruz De Olvido,Yes,spotify:track:5k5Q2mJsySsSKJE6AkNT3U,
