Artist,Title,Found on Spotify?,Spotify URI,Corrections
Connexion,Nobody Does It Better,Unknown,,
"Nightair, Keith Herd, Danny Wood",Without You,Unknown,,
Middlesex Hospital Christmas Show 1978,Up On The Roof,Unknown,,
Connexion,Mouvements Perpétuels,Unknown,,
The Incredible Cherry Tree Band,Walker’s Dance,Unknown,,
Pohjantahti,Emmä Tiärä,Unknown,,
Alessio Alba,Harem,Unknown,,
David Mattson,Holly Lake,Unknown,,
Talisman,Fire & Rain,Unknown,,
Rushton Hall School For The Blind,We’ve Only Just Begun,Unknown,,
Frederic Loy,Cincinatti Flow Rag,Unknown,,
Tony Ansata,Spoonfull,Unknown,,
Wild Oats,Tom Thumb Blues,Unknown,,
Hand,Dying Ground,Unknown,,
Alexis Keaney,"Pisces, My Sign",Unknown,,
"Bob Brown, Sandy Fisher, Ron Johnson",Icarus,Unknown,,
Archimedes Badkar,Svit: Pharaoh-El Legend-Marrakech,Unknown,,
Toti Soler,Ovidi,Unknown,,
Ross Emery,The Jogger,Unknown,,
Aubrey Small,For My Lady,Unknown,,
Heron,Baby Goodnight,Unknown,,
Nirvana,Habemus De Loca,Unknown,,
Nirvana,The Touchables (All Of Us),Unknown,,
Jordi Sabatés,Erik Satie,Unknown,,
Clive Oxford,For Your Future Entertainment,Unknown,,
Eiderjazz,Behin Gehiago = Una Vez Más,Unknown,,
Friedrich Gulda,Im Wald,Unknown,,
Jordi Sabatés,El Señor Dels Anells,Unknown,,
Christine Schaller,Fidji,Unknown,,
Nazaré Pereira,Baia Veia Baia,Unknown,,
Janni Littlepage,Lady In Waiting,Unknown,,
Ia - Batiste,Chichonera's Cat,Unknown,,
Guy Cabay,Il Pleut De L'Eau D'Or,Unknown,,
Nightwatch,Devil In The Belfry,Unknown,,
"Mal Waldron, Gary Peacock",She Walks In Beauty,Unknown,,
Dipak Shah,Nottanum Town,Unknown,,
Bob Stewart,Traveller’s Song,Unknown,,
The Taverners Of Brighton,Babes In The Wood,Unknown,,
Swan Arcade,Down In The Valley To Pray,Unknown,,
Keith Pearson’s Right Hand Band,Anchored In Love Divine,Unknown,,
Brian Rapkin & Kelvin Jones,Melodia,Unknown,,
Paul Wilson,Seven Gypsies,Unknown,,
M. Sheehan,This Slow Life,Unknown,,
Geoff Higginbottom,The Wizard Of Alderley,Unknown,,
Jumpleads,Greenwood Laddie,Unknown,,
Marie Little,The Dark Island,Unknown,,
Sylvia Moore,Bonny At Morn,Unknown,,
C.O.B.,Pretty Kerry,Unknown,,
Tony Capstick With Hedgehog Pie,Captain Grant,Unknown,,
The McCalmans,Burn The Witch,Unknown,,
Illman Riley,Johnny Shoemaker,Unknown,,
More Singing At The Count House,Green Eyes,Unknown,,
"Maddy Prior, June Tabor, Silly Sisters",Agincourt Carol / La Route Au Béziers,Unknown,,
John Timpany & Audrey Smith,False Knight On The Road,Unknown,,
Enrico Marcandalli,Giardini D’oriente,Unknown,,
Enrico Marcandalli,Giardini D’oriente,Unknown,,
Enrico Marcandalli,Isola Verde,Unknown,,
Enrico Marcandalli,Sircoto 1,Unknown,,
Enrico Marcandalli,L’ombrello Cinese,Unknown,,
Enrico Marcandalli,Variazione Cromatica,Unknown,,
Enrico Marcandalli,Immagine Riflessa,Unknown,,
"Enrico Marcandalli, Sergio Pavanati",Cieli,Unknown,,
Enrico Marcandalli,Basso E Maracas,Unknown,,
Enrico Marcandalli,Serena Discipline,Unknown,,
Enrico Marcandalli, 	 Alberi Grigi,Unknown,,
Enrico Marcandalli,Fripp,Unknown,,
Enrico Marcandalli,Brasil,Unknown,,
Enrico Marcandalli,Vāsudeva E Il Flume,Unknown,,
Hat Trick,I Don’t Want To Spoil The Party,Unknown,,
Clive Oxford,Fading Star,Unknown,,
The New You,Whispering Down,Unknown,,
Jigsaw,Only Because You're There,Unknown,,
Cozens & Croft,Only You And Me,Unknown,,
Aubrey Small,Why?,Unknown,,
Macko Palmer,Molly Annie,Unknown,,
Norman Teeling,Dimensions,Unknown,,
Symphonia Of Guitars,Time Is Like A Promise,Unknown,,
Gereon Piller & Gerhard Krause,Spiele Guitarist,Unknown,,
Jack Treese,Just A Brain Trust,Unknown,,
Greg Byrne,Living Alone,Unknown,,
Lochaber Youth Theatre,The Candle Dies,Unknown,,
Marc Jonson,Autopsy,Unknown,,
Simon Foley,To Strive With Princes,Unknown,,
Acustica Medievale,Half-Moon Night,Unknown,,
"Julie Mairs, Chris Stowell",For Free,Unknown,,
Sue Downer & Arthur Hendrie,"Hang In There, Baby",Unknown,,
The Incredible Cherry Tree Band,Do It Again,Unknown,,
Rushton Hall School For The Blind,Annie's Song,Unknown,,
Joan Wildman Trio,Orphan Folk Music,Unknown,,
Júlio Pimentel,Gersal,Unknown,,
"Pataphysics, Longineu Parsons",Nick Danger,Unknown,,
Roberta VanDere,Walk Softly,Unknown,,
Herman Herd,Dog,Unknown,,
Nightwatch,Elven,Unknown,,
The Incredible Cherry Tree Band,Bitch,Unknown,,
"Kenneth V. Jones, Duo Antiqua",Serpentine Dances,Unknown,,
The New Age,Higher Than A Kite,Unknown,,
The Birkbeck Saxophone Quartet,Offa’s Dyke Suite:,Unknown,,
Enrico Marcandalli,Sesorama Widena,Unknown,,
Peter Finger,Newborn Yet To Come,Unknown,,
Carole Boardman,Empty Bed Blues,Unknown,,
Talisman,Fire & Rain,Unknown,,
David Bright & Sarah Farmer,A Bed Of Lovely,Unknown,,
"Kevin McCormick, David Horridge",Dance For Two Strangers,Unknown,,
Elecampane,Judy,Unknown,,
Sylvia Moore,Ashyee Tatale,Unknown,,
Dukes Of Illyria,Food Of Love,Unknown,,
Annie Lewis,I Sowed The Seeds,Unknown,,
No Hat Moon,My Silent Friend,Unknown,,
Catherine Howe,Daylight,Unknown,,
Vulcan’s Hammer,Chicken On A Raft,Unknown,,
Peter Kelley,Circle Of Her Magic,Unknown,,
The Boys Of Holmewood House,Moonshadow,Unknown,,
Jack Treese,"Theme From ""The Moon-Eyed Cod""",Unknown,,
Philip John Lewin,Fear Of Flying,Unknown,,
Peter Bursch Und Die Bröselmaschine,Come Together,Unknown,,
Cecilia Horodko,Ghost Riders In The Sky,Unknown,,
The Missing Persons,The Pioneer Spirit,Unknown,,
Shadowdance Theatre,Ghosts,Unknown,,
York Pop Music Project,All Day,Unknown,,
Jaine Roman-Pitte,I To I,Unknown,,
Electro Motive Force,Personnel ,Unknown,,
Manland Primary School,Encounter / The Dragon’s Plea,Unknown,,
Sylvan Grey,Rainpiece,Unknown,,
"Curtis Clark, Merlene Holsey",Deep Sea Diver,Unknown,,
John The Fish,Winter,Unknown,,
Eve,Dusty Roads,Unknown,,
Miller’s Thumb,Ellen Vannen,Unknown,,
Roger Nicholson,Spring Piece,Unknown,,
Michael Moore,Afraid Of Love,Unknown,,
Heikki Sarmanto Serious Music Ensemble,Like A Fragonard,Unknown,,
Rosy Greca,Sol E Lua,Unknown,,
The Birkbeck Saxophone Quartet,Pavane For The Earl Of Salisbury,Unknown,,
Nightwatch,Yellow Hose / Nonesuch,Unknown,,
Ffenestri,Heno Wylo Sy',Unknown,,
Polish August,Desperate Romance,Unknown,,
Bob Hughes,Drifting Away,Unknown,,
Good Egg,The Oggie Man,Unknown,,
Forces Folk,Spring,Unknown,,
Bob Stewart,"""Up Like The Swallow......""",Unknown,,
Windrose,Carry On,Unknown,,
Condello,Goodnight,Unknown,,
"Sutherland Brothers, Quiver",Seagull / Lonely Love,Unknown,,
Van Duren,So Good To Me (For The Time Being),Unknown,,
Ray Malus,Maria,Unknown,,
Piero Piccioni,It’s Possible,Unknown,,
Back Seat Driver,"Love Me Leave Me (Revis,)",Unknown,,
The Missing Persons,Claire,Unknown,,
Unknown Artist,Looking,Unknown,,
Jumpleads,This Day The Stag Must Die / Johnny Cope,Unknown,,
Skyboat,The Bonnie Banks Of Airdrie,Unknown,,
Lurch,High Steppin' Momma,Unknown,,
The Homosexuals,You're Not Moving The Way You're Supposed To (Part 1),Unknown,,
The Prams,Don't Drop Any Bombs On Me,Unknown,,
Len Liggins,All The Dead Men,Unknown,,
Mollie Thompson,Time No More,Unknown,,
Andy Bole,Pier Head,Unknown,,
Tony & Jenny Reavill,Full Fathom Five,Unknown,,
Miller’s Thumb,My Lady’s A Wild Flying Dove,Unknown,,
Anvil Flutes & Capricorn Voices,Never My Love,Unknown,,
Picture,Change,Unknown,,
Five’s Company,If This Is Love,Unknown,,
Spillemændene,Christiane,Unknown,,
The African People,I Just Wanna Be Friends,Unknown,,
Norman Teeling,Trappin',Unknown,,
Pete Sayers,Chariots Of Fire,Unknown,,
C. V. Jørgensen,Ghetto Svend,Unknown,,
Steve Tibbtz,You And It,Unknown,,
Macko Palmer,Wounded,Unknown,,
Michael Holmes,Morning Glory,Unknown,,
Good Vibrations,Starsign,Unknown,,
Brian Parrish,Pretty Thing,Unknown,,
Symphonic Dodgement In The Park,The Albert Serenade,Unknown,,
Sue Downer & Arthur Hendrie,Teevee Blooz,Unknown,,
Anselm Hollo,With Ruth In Mind,Unknown,,
Biplane,Saints & Sinners,Unknown,,
Emily,Pinball,Unknown,,
Ellison,Winter Slutch,Unknown,,
Jerry Thomas,Ocean Song,Unknown,,
Buddy Bohm,Sad Lady,Unknown,,
