Artist,Title,Found on Spotify?,Spotify URI,Corrections
Brian Rapkin & Kelvin Jones,Melodia,Yes,,
Paul Wilson,Seven Gypsies,Yes,,
M. Sheehan,This Slow Life,Yes,,
Geoff Higginbottom,The Wizard Of Alderley,Yes,,
Jumpleads,Greenwood Laddie,Yes,,
Marie Little,The Dark Island,Yes,,
Sylvia Moore,Bonny At Morn,Yes,,
C.O.B.,Pretty Kerry,Yes,,
Tony Capstick With Hedgehog Pie,Captain Grant,Yes,,
The McCalmans,Burn The Witch,Yes,,
Illman Riley,Johnny Shoemaker,Yes,,
More Singing At The Count House,Green Eyes,Yes,,
"Maddy Prior, June Tabor, Silly Sisters",Agincourt Carol / La Route Au Béziers,Yes,spotify:track:6SzGls0IFf0KtcA5i8snO7,
John Timpany & Audrey Smith,False Knight On The Road,Yes,,
Enrico Marcandalli,Giardini D’oriente,Yes,spotify:track:4tFC09KbsZICHt8PXaVdSH,
Enrico Marcandalli,Giardini D’oriente,Yes,spotify:track:4tFC09KbsZICHt8PXaVdSH,
Enrico Marcandalli,Isola Verde,Yes,,
Enrico Marcandalli,Sircoto 1,Yes,spotify:track:039AneqGA6uXzUSeDGtpKk,
Enrico Marcandalli,L’ombrello Cinese,Yes,,
Enrico Marcandalli,Variazione Cromatica,Yes,,
Enrico Marcandalli,Immagine Riflessa,Yes,,
"Enrico Marcandalli, Sergio Pavanati",Cieli,Yes,spotify:track:0XsjBcopzZsMTsgrJEGPrb,
Enrico Marcandalli,Basso E Maracas,Yes,,
Enrico Marcandalli,Serena Discipline,Yes,,
Enrico Marcandalli, 	 Alberi Grigi,Yes,spotify:track:3vbP4t5nY9nBrNPdbg0V0W,
Enrico Marcandalli,Fripp,Yes,,
Enrico Marcandalli,Brasil,Yes,spotify:track:6mjY8XvoaBuIAaxB456lqF,
Enrico Marcandalli,Vāsudeva E Il Flume,Yes,,
Hat Trick,I Don’t Want To Spoil The Party,Yes,,
Clive Oxford,Fading Star,Yes,,
The New You,Whispering Down,Yes,,
Jigsaw,Only Because You're There,Yes,spotify:track:5PKZDH7WZKky0TFJnnryer,
Cozens & Croft,Only You And Me,Yes,,
Aubrey Small,Why?,Yes,,
Macko Palmer,Molly Annie,Yes,,
Norman Teeling,Dimensions,Yes,,
Symphonia Of Guitars,Time Is Like A Promise,Yes,,
Gereon Piller & Gerhard Krause,Spiele Guitarist,Yes,,
Jack Treese,Just A Brain Trust,Yes,spotify:track:7qUsdcy8gNdlEfE3TGkw0D,
Greg Byrne,Living Alone,Yes,,
Lochaber Youth Theatre,The Candle Dies,Yes,,
Marc Jonson,Autopsy,Yes,,
Simon Foley,To Strive With Princes,Yes,,
Acustica Medievale,Half-Moon Night,Yes,spotify:track:7yivbLrJixCLDDiLwejTUg,
"Julie Mairs, Chris Stowell",For Free,Yes,,
Sue Downer & Arthur Hendrie,"Hang In There, Baby",Yes,,
The Incredible Cherry Tree Band,Do It Again,Yes,,
Rushton Hall School For The Blind,Annie's Song,Yes,,
Joan Wildman Trio,Orphan Folk Music,Yes,,
Júlio Pimentel,Gersal,Yes,spotify:track:4iSRUJtXK4Y90HkO7wvYLx,
"Pataphysics, Longineu Parsons",Nick Danger,Yes,spotify:track:3cLRqblVJrOeH3aSMwmBsy,
Roberta VanDere,Walk Softly,Yes,spotify:track:23IfWJ84Sf4HLl5EJ6MGZI,
Herman Herd,Dog,Yes,,
Nightwatch,Elven,Yes,,
The Incredible Cherry Tree Band,Bitch,Yes,,
"Kenneth V. Jones, Duo Antiqua",Serpentine Dances,Yes,,
The New Age,Higher Than A Kite,Yes,,
The Birkbeck Saxophone Quartet,Offa’s Dyke Suite:,Yes,,
Enrico Marcandalli,Sesorama Widena,Yes,,
Peter Finger,Newborn Yet To Come,Yes,,
Carole Boardman,Empty Bed Blues,Yes,,
Talisman,Fire & Rain,Yes,,
David Bright & Sarah Farmer,A Bed Of Lovely,Yes,,
"Kevin McCormick, David Horridge",Dance For Two Strangers,Yes,spotify:track:2GREyN7Ff5LeXWU50uX3lq,
Elecampane,Judy,Yes,,
Sylvia Moore,Ashyee Tatale,Yes,,
Dukes Of Illyria,Food Of Love,Yes,,
Annie Lewis,I Sowed The Seeds,Yes,,
No Hat Moon,My Silent Friend,Yes,,
Catherine Howe,Daylight,Yes,,
Vulcan’s Hammer,Chicken On A Raft,Yes,,
Peter Kelley,Circle Of Her Magic,Yes,,
The Boys Of Holmewood House,Moonshadow,Yes,,
Jack Treese,"Theme From ""The Moon-Eyed Cod""",Yes,,
Philip John Lewin,Fear Of Flying,Yes,spotify:track:75fyRVUumEFelIWn6vILn3,
Peter Bursch Und Die Bröselmaschine,Come Together,Yes,,
Cecilia Horodko,Ghost Riders In The Sky,Yes,,
The Missing Persons,The Pioneer Spirit,Yes,,
Shadowdance Theatre,Ghosts,Yes,,
York Pop Music Project,All Day,Yes,,
Jaine Roman-Pitte,I To I,Yes,,
Electro Motive Force,Personnel ,Yes,,
Manland Primary School,Encounter / The Dragon’s Plea,Yes,,
Sylvan Grey,Rainpiece,Yes,,
"Curtis Clark, Merlene Holsey",Deep Sea Diver,Yes,spotify:track:5S2lkb2WNYoMZM0UiEugoX,
John The Fish,Winter,Yes,,
Eve,Dusty Roads,Yes,spotify:track:7pSDmSqoOSgnY1sdL2OogO,
Miller’s Thumb,Ellen Vannen,Yes,,
Roger Nicholson,Spring Piece,Yes,,
Michael Moore,Afraid Of Love,Yes,,
Heikki Sarmanto Serious Music Ensemble,Like A Fragonard,Yes,spotify:track:6GOK3PSW4erzQvJgePJVQj,
Rosy Greca,Sol E Lua,Yes,,
The Birkbeck Saxophone Quartet,Pavane For The Earl Of Salisbury,Yes,,
Nightwatch,Yellow Hose / Nonesuch,Yes,spotify:track:6PW5cT5yuXpupEnYXAxzms,
Ffenestri,Heno Wylo Sy',Yes,,
Polish August,Desperate Romance,Yes,,
Bob Hughes,Drifting Away,Yes,,
Good Egg,The Oggie Man,Yes,,
Forces Folk,Spring,Yes,,
Bob Stewart,"""Up Like The Swallow......""",Yes,,
Windrose,Carry On,Yes,,
Condello,Goodnight,Yes,,
"Sutherland Brothers, Quiver",Seagull / Lonely Love,Yes,spotify:track:3Tp88JpbnM8RLRDEVtooam,
Van Duren,So Good To Me (For The Time Being),Yes,spotify:track:1Q7WuW9MaKPxWKtv5C1BuG,
Ray Malus,Maria,Yes,,
Piero Piccioni,It’s Possible,Yes,spotify:track:7HWfJgLLbH5NjcghGM74tM,
Back Seat Driver,"Love Me Leave Me (Revis,)",Yes,,
The Missing Persons,Claire,Yes,,
Unknown Artist,Looking,Yes,,
Jumpleads,This Day The Stag Must Die / Johnny Cope,Yes,,
Skyboat,The Bonnie Banks Of Airdrie,Yes,spotify:track:4RHDEShFOpiKdLMqbbIXYj,
Lurch,High Steppin' Momma,Yes,,
The Homosexuals,You're Not Moving The Way You're Supposed To (Part 1),Yes,,
The Prams,Don't Drop Any Bombs On Me,Yes,,
Len Liggins,All The Dead Men,Yes,,
Mollie Thompson,Time No More,Yes,,
Andy Bole,Pier Head,Yes,,
Tony & Jenny Reavill,Full Fathom Five,Yes,,
Miller’s Thumb,My Lady’s A Wild Flying Dove,Yes,,
Anvil Flutes & Capricorn Voices,Never My Love,Yes,,
Picture,Change,Yes,,
Five’s Company,If This Is Love,Yes,spotify:track:2Sbsr5brOSToAs0HJymz2s,
Spillemændene,Christiane,Yes,,
The African People,I Just Wanna Be Friends,Yes,,
Norman Teeling,Trappin',Yes,,
Pete Sayers,Chariots Of Fire,Yes,,
C. V. Jørgensen,Ghetto Svend,Yes,,
Steve Tibbtz,You And It,Yes,,
Macko Palmer,Wounded,Yes,,
Michael Holmes,Morning Glory,Yes,spotify:track:37qPOa54y64jHqy2DxUahn,
Good Vibrations,Starsign,Yes,,
Brian Parrish,Pretty Thing,Yes,,
Symphonic Dodgement In The Park,The Albert Serenade,Yes,,
Sue Downer & Arthur Hendrie,Teevee Blooz,Yes,,
Anselm Hollo,With Ruth In Mind,Yes,,
Biplane,Saints & Sinners,Yes,,
Emily,Pinball,Yes,,
Ellison,Winter Slutch,Yes,spotify:track:6pZGkj5V7RHAt2LWcRePqs,
Jerry Thomas,Ocean Song,Yes,,
Buddy Bohm,Sad Lady,Yes,,
Shakespear,Trilogy: Just Like a Woman; Alberta; Make it With You,Yes,,
Thomas Gray,Ode On The Death Of A Favourite Cat Drowned In A Tub Of Gold Fishes,Yes,,
The Muzik Makers,Psaltery Solo No. 2,Yes,,
The Boys Of Holmewood House,Colours,Yes,,
Malcolm Price,Red Balloon,Yes,,
Robin Lent,Ocean Liner Woman,Yes,spotify:track:1rCaRbNV9uoDyNGJ24yFD0,
Keith James & Andy Kerr,I Need You Babe,Yes,,
Capricorn,Video King,Yes,,
No Hat Moon,It's Only The Rain,Yes,,
Catherine Howe,God Help The Ones,Yes,,
Come Aboard! QE2,Black Cat Bones,Yes,,
Linn County,Lower Lemons,Yes,spotify:track:0HzuTw0PD2NHdpMJRTFnIy,
Leon & Malia,The Hurdy Gurdy Man,Yes,,
Tom Newman,Sleep,Yes,spotify:track:2xYOlWTYaICuRjopuCfvWK,
James Simmons,Ladies Man,Yes,,
Spindrift,Four Quarters,Yes,,
"Gereon Piller, Gerhard Krause",Blue Winter,Yes,spotify:track:2vcqb7JOKsSS0y6m2eQLWN,
Werner Prassl,Richland Woman Blues,Yes,,
Norman Teeling,Two Rainbows,Yes,spotify:track:4V41IkJFgC5f2T6iyvktob,
Dave Burland,His Name Is Andrew,Yes,,
Maurizio Angeletti,Morning Sun Haiku,Yes,,
Roberto Menabò,Le Ragazze Hanno Gli Occhi Di Rubino Quando Suona Atahualpa Yupangui,Yes,,
Franco Morone,Rockin' Blues,Yes,,
Giovanni Unterberger,Golden Hearted City Employee,Yes,,
Maurizio Angeletti,Good Hands,Yes,,
Maurizio Angeletti,On The Shady Side Of The Ocean,Yes,,
Enrico Marcandalli,L’Ombrello Cinese (The Chinese Umbrella),Yes,,
Maurizio Angeletti,Zen & The Stone Game,Yes,spotify:track:7psesjehFvhniKrCGUh0t1,
Roberto Menabò,Il Ritorno Dell'Enola Gay,Yes,,
Giovanni Palombo,Pesco Fuor D’Acqua (Fish Out Of Water),Yes,,
Alessandro Cocchi,Felix Leo,Yes,,
Roberto Menabò,A Due Passi Dal Sunflower,Yes,,
Maurizio Angeletti,Sawmill Obsession,Yes,,
Enrico Marcandalli,Variazone Cromatica,Yes,,
Maurizio Angeletti,"Wind’s Gonna Blow Your Blues Away, Poor Boy",Yes,,
Jon Mark,Blues For Hobbits,Yes,,
John The Fish,Goodbye To Monday Night,Yes,,
Hedgehog Pie,The Gardener,Yes,,
Breeze,Hooked On You,Yes,,
Jerry Thomas,Love Strain,Yes,spotify:track:2dI0JgDHAA2AnpKUP3Jfmy,
Nino & Radiah,The South,Yes,,
Cyril Lefebvre,Cocaine Blues,Yes,spotify:track:48XnWAYzkVelNpcufbp9Oi,
Tyke,Morgan’s Privateers,Yes,,
Dragonsfire,Dancer Tiptoe,Yes,,
Sue Seek,American Man/American Lover,Yes,spotify:track:3YRWcYycAsNhxj6z3P59Z6,
Ed Watson & His Brass Circle,Rise,Yes,spotify:track:39pwsVpphsugRHPKbcYFDP,
"Chris, Kylie",Feelin' Good,Yes,spotify:track:3hbI0ZkKiPsKeqwmp6WaZD,
Keith Husbands,Call The Wind Maria,Yes,,
